Year,Region,Flow
1970,West,44885.67945205479
1971,West,25881.624657534245
1972,West,13743.704918032787
1973,West,40840.87671232877
1974,West,45005.11232876712
1975,West,26152.613698630135
1976,West,5380.327868852459
1977,West,3688.0794520547947
1978,West,30666.63287671233
1979,West,16570.22191780822
1980,West,37685.147540983606
1981,West,19375.583561643834
1982,West,58497.109589041094
1983,West,98011.66301369864
1984,West,26012.950819672133
1985,West,7482.024657534246
1986,West,41596.81095890411
1987,West,7528.068493150685
1988,West,5979.628415300546
1989,West,8866.47397260274
1990,West,5341.161643835617
1991,West,6059.789041095891
1992,West,7473.603825136612
1993,West,26705.764383561644
1994,West,7696.92602739726
1995,West,60214.24931506849
1996,West,39485.84699453552
1997,West,41503.11232876712
1998,West,63611.24657534246
1999,West,26233.731506849315
2000,West,24628.382513661203
2001,West,11385.342465753425
2002,West,12970.128767123288
2003,West,18961.446575342467
2004,West,19992.494535519127
2005,West,23419.487671232877
2006,West,54503.109589041094
2007,West,8308.961643835617
2008,West,9360.396174863388
2009,West,9561.476712328767
2010,West,17703.75616438356
2011,West,34223.15616438356
2012,West,13955.953551912567
2013,West,8897.676712328766
2014,West,8378.071232876713
2015,West,6486.9342465753425
2016,West,18464.166666666668
2017,West,64930.92602739726
2018,West,13332.123287671233
2019,West,38870.45205479452
2020,West,8288.233576642337
1970,North,35387.92054794521
1971,North,20282.268493150685
1972,North,11262.661202185793
1973,North,32875.12602739726
1974,North,36900.92054794521
1975,North,19809.49315068493
1976,North,5595.439890710382
1977,North,2867.068493150685
1978,North,22480.06301369863
1979,North,12896.767123287671
1980,North,27874.32513661202
1981,North,17979.350684931505
1982,North,42112.53698630137
1983,North,65240.34794520548
1984,North,20143.17213114754
1985,North,8412.301369863013
1986,North,32635.11506849315
1987,North,8107.460273972602
1988,North,7602.3661202185795
1989,North,11218.230136986302
1990,North,6273.057534246575
1991,North,5617.682191780822
1992,North,6750.311475409836
1993,North,24478.660273972604
1994,North,7626.753424657534
1995,North,47420.109589041094
1996,North,32258.609289617485
1997,North,32191.50410958904
1998,North,47002.21643835616
1999,North,22096.194520547946
2000,North,22523.560109289618
2001,North,11234.345205479452
2002,North,13752.780821917808
2003,North,20050.076712328766
2004,North,20511.710382513662
2005,North,20297.430136986302
2006,North,42604.85753424658
2007,North,9322.191780821919
2008,North,8622.409836065573
2009,North,9649.978082191781
2010,North,16077.70684931507
2011,North,26173.723287671233
2012,North,13454.426229508197
2013,North,9153.460273972603
2014,North,7445.876712328767
2015,North,5399.972602739726
2016,North,17751.169398907103
2017,North,50479.73424657534
2018,North,12045.890410958904
2019,North,30202.095890410958
2020,North,7883.970802919708
1970,South,9541.786301369862
1971,South,5706.693150684931
1972,South,2582.3005464480875
1973,South,8006.939726027397
1974,South,8197.86301369863
1975,South,6435.054794520548
1976,South,-90.56830601092896
1977,South,918.8109589041096
1978,South,8236.232876712329
1979,South,3727.4109589041095
1980,South,9897.893442622952
1981,South,1459.9424657534246
1982,South,16372.082191780823
1983,South,32763.027397260274
1984,South,5970.693989071038
1985,South,-834.9671232876713
1986,South,9020.065753424658
1987,South,-507.4821917808219
1988,South,-1523.5027322404371
1989,South,-2253.1369863013697
1990,South,-828.6931506849315
1991,South,519.9041095890411
1992,South,799.431693989071
1993,South,2267.194520547945
1994,South,162.2876712328767
1995,South,12811.265753424657
1996,South,7261.371584699454
1997,South,9393.279452054794
1998,South,16647.287671232876
1999,South,4237.53698630137
2000,South,2166.3333333333335
2001,South,214.36438356164385
2002,South,-690.386301369863
2003,South,-993.5123287671233
2004,South,-439.14207650273227
2005,South,3191.8712328767124
2006,South,11963.827397260275
2007,South,-897.1479452054795
2008,South,839.7322404371585
2009,South,6.441095890410959
2010,South,1693.3150684931506
2011,South,8151.706849315068
2012,South,587.3005464480874
2013,South,-120.97534246575343
2014,South,1024.9123287671232
2015,South,1211.2657534246575
2016,South,797.1284153005464
2017,South,14512.046575342465
2018,South,1361.4931506849316
2019,South,8722.964383561644
2020,South,548.1240875912408
