"","Year","fish_biomass_AmericanShad","fish_biomass_ThreadfinShad","fish_biomass_DeltaSmelt","fish_biomass_LongfinSmelt","fish_biomass_StripedBass_age0","fish_biomass_Estuarine_pelagic_forage_fishes"
"1",1967,0,0,0,0,NA,NA
"2",1968,0,0,0,0,112748.327077184,112748.327077184
"3",1969,0,0,0,0,169687.132047675,169687.132047675
"4",1970,0,0,0,0,193502.589524176,193502.589524176
"5",1971,25753.1990199147,0,0,0,155099.950267557,180853.149287471
"6",1972,12282.8218607618,0,0,0,131578.607191259,143861.429052021
"7",1973,17933.6001590847,0,0,0,102795.647882513,120729.248041598
"8",1975,61628.0214643094,29870.3601871655,5530.6777297615,31590.0923914253,101463.834703907,230082.986476569
"9",1976,18119.564344693,1782.21533730463,2279.98299111362,3053.31047593197,36428.0643900554,61663.1375390985
"10",1977,25540.1309433693,261722.391290416,2568.47877696026,5364.40580265513,32856.5730807858,328051.979894187
"11",1978,66768.8001779791,110790.734153579,4945.12506547767,60184.8816788091,81519.8131976194,324209.354273465
"12",1980,134235.455891595,220422.276406977,23129.9520468053,270093.625105758,39135.6539380395,687016.963389175
"13",1981,57230.3682653204,183662.573569151,5779.38326184257,43993.4419552843,80875.62712702,371541.394178619
"14",1982,65036.4724053724,105133.275105453,7110.90824772429,275086.869302926,92295.9848652592,544663.509926734
"15",1983,40484.6971265334,67128.1746339934,5397.62364010094,92702.8407781221,133181.851887584,338895.188066334
"16",1984,20285.6333719873,5151.68547766801,1742.94101720883,21373.291450275,166527.607388324,215081.158705463
"17",1985,64398.6486324781,35009.5585662302,3318.50477174643,24613.1005256935,89011.2948175139,216351.107313662
"18",1986,38408.7967482975,45620.9656526067,3983.41207175803,48822.490790061,71561.2064851651,208396.871747888
"19",1987,34468.4892920306,117809.708134828,4673.58613166255,29534.4726752741,34677.0901862319,221163.346420027
"20",1988,35235.3250996953,82565.8592126634,5981.28484461222,24365.6820418949,21616.8293891748,169764.980588041
"21",1989,44861.059400353,193022.370152116,7031.30369947681,11030.153454614,21272.871649354,277217.758355914
"22",1990,64346.2632807721,201110.025026867,6029.11735348278,8760.02610030488,36554.4097947412,316799.841556168
"23",1991,54418.0628041914,149104.274483204,8911.30664656269,5284.89072092852,41050.6350060437,258769.16966093
"24",1992,44712.7195027137,98667.3595412831,1922.46849691439,4792.72267794432,48384.6999929214,198479.970211777
"25",1993,63771.157860981,86718.8790304738,9214.37150989777,9121.68395328497,43535.842255128,212361.934609765
"26",1994,51024.7166410321,66912.842629307,2658.11423706042,18807.871376885,54096.409613968,193499.954498253
"27",1995,60285.8089451297,32522.6921862653,5250.402510221,18715.2301306532,17930.9155822718,134705.049354541
"28",1996,45545.3773477006,85378.028441163,3170.25788271768,12084.371319816,24495.9212892507,170673.956280648
"29",1997,46948.448155453,270744.68848742,4034.36081026219,9701.96397337466,29186.5359779204,360615.997404431
"30",1998,39297.0698398735,62746.4426804418,3796.06830598194,33093.975925597,34611.3727651494,173544.929517044
"31",1999,16374.5634017682,96865.1008937283,8939.75431377563,14311.2449800203,34395.6852934522,170886.348882745
"32",2000,17255.3291517299,291988.265885985,4274.67729960171,15226.4157192011,28914.0457749435,357658.733831461
"33",2001,17091.5152686138,214196.850648498,4192.96875726769,11616.3324542205,30257.2732996243,277354.940428225
"34",2002,35841.1231579661,44677.0724168434,1711.35734939762,8547.20073230516,19647.0417861103,110423.795442623
"35",2003,105003.998712404,67664.3342577791,2566.06323841481,10165.5807552548,17638.8247325645,203038.801696417
"36",2004,19857.0796063662,17826.8302349224,1173.51735344112,2659.79944032016,17201.4933504408,58718.7199854907
"37",2005,14536.5524724709,30966.5427756072,428.681483186984,3496.5209750673,18460.697837387,67888.9955437193
"38",2006,27036.3349994215,24742.3172634597,710.826360873296,3707.70551002503,32320.3322038918,88517.5163376713
"39",2007,8812.40418419914,34496.8191236235,530.837398433151,1202.7964380119,25923.6714401512,70966.5285844189
"40",2008,5533.24887316473,7689.56240604015,252.538271858528,2166.39836841708,38383.603367911,54025.3512873915
"41",2009,9131.28954438426,1876.58590925412,483.327307518568,2773.0031696363,21365.3866311554,35629.5925619487
"42",2010,10606.0832601544,3540.51977154236,585.177098609332,1439.32400899498,13724.2143774391,29895.3185167402
"43",2011,9359.70430653118,5927.63958412014,2812.91242893065,6318.12005697641,21143.9017081368,45562.2780846952
"44",2012,7238.26183860402,1120.60894895681,472.335326241,1924.98961917172,19249.7483266569,30005.9440596305
"45",2013,6607.72963660869,7214.8910162394,289.456620421768,3144.2862766747,27110.6314365517,44366.9949864962
"46",2014,10045.245092889,6210.95882346007,92.4628569717477,213.517559673565,26109.2666766994,42671.4510096939
"47",2015,3546.57549684733,13915.4807628288,186.656698419061,569.83694679351,28739.8527315977,46958.4026364865
"48",2016,6306.96446444977,12289.2260870966,81.8262847161226,299.072373857884,29957.5012894778,48934.5904995982
"49",2017,31580.3494149782,11774.7060720557,49.2805010575167,2154.13549675368,37787.5602500521,83346.0317348971
"50",2018,18031.7308511038,4521.0599119217,0,1339.66535964144,17279.9402792518,41172.3964019188
"51",2019,26699.2394872069,13345.003594428,0,1333.55914456848,26470.7223643044,67848.5245905078
"52",2020,21833.4665044497,17863.2652749756,0,686.286395170527,32557.3237990086,72940.3419736044
