"Model","Response","op","Predictor","Effect","se","pvalue"
"Original","chla","~","potam",-0.3407,0.1708,0.0461
"Original","chla","~","flow",0.0546,0.1738,0.7532
"Original","chla","~","temp",-0.0354,0.1659,0.8308
"Original","hzoop","~","chla",0.6471,0.0891,0
"Original","hzoop","~","potam",-0.2789,0.1254,0.0261
"Original","hzoop","~","flow",-0.0189,0.118,0.8729
"Original","hzoop","~","temp",0.0277,0.1125,0.8055
"Original","pzoop","~","chla",0.6267,0.0876,0
"Original","pzoop","~","potam",-0.0453,0.083,0.585
"Original","pzoop","~","flow",-0.2287,0.0742,0.0021
"Original","pzoop","~","hzoop",0.3652,0.0979,2e-04
"Original","pzoop","~","temp",-0.0609,0.0692,0.3788
"Original","fish","~","hzoop",0.2702,0.1301,0.0379
"Original","fish","~","pzoop",0.1841,0.1234,0.1358
"Original","fish","~","flow",0.1177,0.0877,0.1796
"Original","fish","~","turbid",0.386,0.0895,0
"Original","fish","~","temp",0.0762,0.0805,0.3443
"Original","fish","~","potam",-0.3422,0.109,0.0017
"Original","fish","=~","estfish",0.8977,0.0341,0
"Original","fish","=~","estfish_stn",0.8729,0.0393,0
"Original","fish","=~","estfish_bsmt",0.7608,0.0652,0
"Original","estfish","~~","estfish",0.1942,0.0613,0.0015
"Original","estfish_stn","~~","estfish_stn",0.238,0.0686,5e-04
"Original","estfish_bsmt","~~","estfish_bsmt",0.4211,0.0992,0
"Original","chla","~~","chla",0.8478,0.1005,0
"Original","hzoop","~~","hzoop",0.3889,0.0935,0
"Original","pzoop","~~","pzoop",0.1465,0.0424,6e-04
"Original","fish","~~","fish",0.0795,0.0463,0.0864
"Original","potam","~~","potam",1,0,NA
"Original","potam","~~","flow",-0.5255,0,NA
"Original","potam","~~","temp",0.452,0,NA
"Original","potam","~~","turbid",-0.6302,0,NA
"Original","flow","~~","flow",1,0,NA
"Original","flow","~~","temp",-0.3772,0,NA
"Original","flow","~~","turbid",0.4185,0,NA
"Original","temp","~~","temp",1,0,NA
"Original","temp","~~","turbid",-0.2278,0,NA
"Original","turbid","~~","turbid",1,0,NA
"Detrended","chla","~","potam",0.2584,0.1789,0.1485
"Detrended","chla","~","flow",0.3423,0.1745,0.0499
"Detrended","chla","~","temp",-0.0611,0.1646,0.7105
"Detrended","hzoop","~","chla",0.5985,0.1066,0
"Detrended","hzoop","~","potam",-0.0414,0.1545,0.7886
"Detrended","hzoop","~","flow",0.1061,0.1569,0.499
"Detrended","hzoop","~","temp",0.0337,0.1349,0.8028
"Detrended","pzoop","~","chla",0.6722,0.0908,0
"Detrended","pzoop","~","potam",0.0444,0.096,0.6438
"Detrended","pzoop","~","flow",-0.2242,0.0985,0.0229
"Detrended","pzoop","~","hzoop",0.3061,0.0991,0.002
"Detrended","pzoop","~","temp",-0.0791,0.0838,0.3451
"Detrended","fish","~","hzoop",0.0993,0.1556,0.5235
"Detrended","fish","~","pzoop",0.4125,0.1557,0.0081
"Detrended","fish","~","flow",0.6754,0.1505,0
"Detrended","fish","~","turbid",0.1239,0.1282,0.3336
"Detrended","fish","~","temp",0.2385,0.1213,0.0493
"Detrended","fish","~","potam",-0.2306,0.1358,0.0894
"Detrended","fish","=~","estfish",0.6145,0.1036,0
"Detrended","fish","=~","estfish_stn",0.6198,0.1027,0
"Detrended","fish","=~","estfish_bsmt",0.7499,0.0808,0
"Detrended","estfish","~~","estfish",0.6224,0.1273,0
"Detrended","estfish_stn","~~","estfish_stn",0.6159,0.1273,0
"Detrended","estfish_bsmt","~~","estfish_bsmt",0.4377,0.1211,3e-04
"Detrended","chla","~~","chla",0.9067,0.0855,0
"Detrended","hzoop","~~","hzoop",0.6044,0.1198,0
"Detrended","pzoop","~~","pzoop",0.2326,0.0644,3e-04
"Detrended","fish","~~","fish",0.0735,0.119,0.5366
"Detrended","potam","~~","potam",1,0,NA
"Detrended","potam","~~","flow",-0.5556,0,NA
"Detrended","potam","~~","temp",0.3586,0,NA
"Detrended","potam","~~","turbid",-0.276,0,NA
"Detrended","flow","~~","flow",1,0,NA
"Detrended","flow","~~","temp",-0.3633,0,NA
"Detrended","flow","~~","turbid",0.5118,0,NA
"Detrended","temp","~~","temp",1,0,NA
"Detrended","temp","~~","turbid",-0.0441,0,NA
"Detrended","turbid","~~","turbid",1,0,NA
